Object Type,Table Name,Object Name,Data Type,Format,Description,Category,Is Hidden,Is Key,Example Values,Business Rules
Column,DataFileRecordLayout,RowNumber,Int64,0,System-generated row number,Technical,Yes,Yes,,Auto-generated
Column,DataFileRecordLayout,REF_DATE,String,,Reference year for the statistic,Time,"No","No","2020, 2021, 2022",Should be converted to Date type
Column,DataFileRecordLayout,GEO,String,,Geographic location (province/territory),Geographic,"No","No","Ontario, Quebec, British Columbia",
Column,DataFileRecordLayout,DGUID,String,,Unique geographic identifier from Statistics Canada,Geographic,"No","No",,
Column,DataFileRecordLayout,Educational qualification,String,,Type of degree or qualification,Dimension,"No","No","Bachelor's degree, Master's degree",
Column,DataFileRecordLayout,Field of study,String,,Academic field or discipline,Dimension,"No","No","Engineering, Business, Health Sciences",
Column,DataFileRecordLayout,Gender,String,,Gender classification,Dimension,"No","No","Woman, Man",Used in gender analysis measures
Column,DataFileRecordLayout,Age group,String,,Age range grouping,Dimension,"No","No","15-24, 25-34, 35-44",
Column,DataFileRecordLayout,Population group,String,,Population demographic category,Dimension,"No","No",,
Column,DataFileRecordLayout,Indicator,String,,Type of indicator/metric being measured,Metadata,"No","No",,
Column,DataFileRecordLayout,UOM,String,,Unit of measure description,Metadata,"No","No","Number, Percent",
Column,DataFileRecordLayout,UOM_ID,Int64,0,Unit of measure identifier,Metadata,"No","No",,
Column,DataFileRecordLayout,SCALAR_FACTOR,String,,Scaling factor description for the value,Metadata,"No","No","Units, Thousands",
Column,DataFileRecordLayout,SCALAR_ID,Int64,0,Scaling factor identifier,Metadata,"No","No",,
Column,DataFileRecordLayout,VECTOR,String,,Statistics Canada vector identifier for the series,Metadata,"No","No",,Unique identifier for data series
Column,DataFileRecordLayout,COORDINATE,String,,Coordinate reference in Statistics Canada system,Metadata,"No","No",,
Column,DataFileRecordLayout,VALUE,Int64,0,The core metric value (graduate counts),Fact,"No","No",,Primary measure column
Column,DataFileRecordLayout,STATUS,String,,Data status flag,Metadata,"No","No",,Quality indicator
Column,DataFileRecordLayout,SYMBOL,String,,Data notation symbol from Statistics Canada,Metadata,"No","No",,
Column,DataFileRecordLayout,TERMINATED,String,,Termination indicator for the series,Metadata,"No","No",,
Column,DataFileRecordLayout,DECIMALS,Int64,0,Number of decimal places for the value,Metadata,"No","No",,
Measure,DataFileRecordLayout,Total Graduates,Numeric,,Base aggregation of graduate counts,Core Metric,"No",,"125000, 98500",Foundation measure for all calculations
Measure,DataFileRecordLayout,Female Graduates,Numeric,0,Total graduates filtered for women,Gender Analysis,"No",,"65000, 52000",Optimized with direct SUM
Measure,DataFileRecordLayout,Male Graduates,Numeric,0,Total graduates filtered for men,Gender Analysis,"No",,"60000, 46500",Optimized with direct SUM
Measure,DataFileRecordLayout,Female Percentage,Percentage,,Percentage of female graduates,Gender Analysis,"No",,"52%, 48%",
Measure,DataFileRecordLayout,Male Percentage,Percentage,0.00%,Percentage of male graduates,Gender Analysis,"No",,"48%, 52%",
Measure,DataFileRecordLayout,Gender Balance Ratio,Numeric,0.00,Gender diversity ratio (closer to 1.0 means more balanced),Gender Analysis,"No",,"0.85, 0.92, 1.00","1.0 = perfect balance, <1.0 = imbalance"
Measure,DataFileRecordLayout,Number of Provinces,Numeric,0,Count of distinct geographic regions,Geographic,"No",,"10, 13",
Measure,DataFileRecordLayout,Avg Graduates per Province,Numeric,"#,##0",Average graduates per province,Geographic,"No",,"9500, 12000",
Measure,DataFileRecordLayout,Province Rank by Graduates,Numeric,0,Rank provinces by number of graduates (1=highest),Geographic,"No",,"1, 2, 3","Uses DENSE ranking, context-aware"
Measure,DataFileRecordLayout,First Year,String,,Earliest year in the dataset,Time Intelligence,"No",,"2015, 2010",
Measure,DataFileRecordLayout,Last Year,String,,Most recent year in the dataset,Time Intelligence,"No",,"2023, 2024",
Measure,DataFileRecordLayout,Latest Year Graduates,Numeric,"#,##0",Graduates in the most recent year available,Time Intelligence,"No",,"135000, 142000",Fixed placeholder error
Measure,DataFileRecordLayout,Cumulative Graduates,Numeric,"#,##0",Running total of graduates over time,Time Intelligence,"No",,"500000, 1200000",For cumulative charts
Measure,DataFileRecordLayout,Graduates YoY Change (%),Percentage,0.00%,Year-over-year percentage change,Growth Metrics,"No",,"5.2%, -2.1%, 0.0%",Optimized performance
Measure,DataFileRecordLayout,Graduates YoY Change (Absolute),Numeric,"+#,##0;-#,##0;0",Year-over-year absolute change in graduates,Growth Metrics,"No",,"5000, -2000, 0",Shows +/- signs
Measure,DataFileRecordLayout,3-Year Moving Avg,Numeric,"#,##0",Moving average of graduates over 3 years,Growth Metrics,"No",,"125000, 128000",Smooths volatility
Measure,DataFileRecordLayout,Total Period Growth %,Percentage,0.00%,Total growth from first to last year,Growth Metrics,"No",,"25.5%, -5.2%",Fixed placeholder error
Measure,DataFileRecordLayout,CAGR,Percentage,0.00%,Compound annual growth rate over the entire period,Growth Metrics,"No",,"3.5%, -1.2%",Fixed placeholder error
Measure,DataFileRecordLayout,Growth Trend Indicator,Text,,Visual indicator: Up arrow, down arrow, or neutral based on YoY change,Growth Metrics,"No",,"↑ Increase, ↓ Decrease, → Stable",">2% = Increase, <-2% = Decrease"
Measure,DataFileRecordLayout,% of Total Graduates,Percentage,0.00%,Percentage of current selection vs total across all contexts,Comparative,"No",,"15.5%, 8.2%",For part-to-whole analysis
Measure,DataFileRecordLayout,Number of Fields of Study,Numeric,0,Number of distinct fields of study,Metadata,"No",,"25, 30",
